Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A744426,*Hermione,02/28/2017 03:25:00 PM,02/28/2017 03:25:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A777720,*Meryl,08/02/2018 10:23:00 AM,08/02/2018 10:23:00 AM,15900 Decker Lake Road in Manor (TX),Stray,Normal,Dog,Intact Female,6 months,Pit Bull Mix,Brown Brindle/White
A724755,,04/21/2016 01:53:00 PM,04/21/2016 01:53:00 PM,4510 Richmond Ave in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A731057,*Eliza,07/15/2016 11:15:00 AM,07/15/2016 11:15:00 AM,5326 Wellington Dr in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Brown Tabby/White
A690821,Shelbey,05/05/2018 11:50:00 AM,05/05/2018 11:50:00 AM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,4 years,German Shepherd Mix,Sable
A696850,,02/13/2015 01:15:00 PM,02/13/2015 01:15:00 PM,7201 Meadowood Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Lynx Point
A745320,,03/16/2017 09:56:00 AM,03/16/2017 09:56:00 AM,1407 Alma Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A738903,*Mack,11/23/2016 12:09:00 PM,11/23/2016 12:09:00 PM,15811 Giese Ln in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Staffordshire Mix,Black Brindle/White
A742667,,01/25/2017 06:18:00 PM,01/25/2017 06:18:00 PM,2200 S Pleasant Valley Rd in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Cream Tabby
A714176,,10/19/2015 11:57:00 AM,10/19/2015 11:57:00 AM,2204 Leona St in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black
A726235,Red,05/08/2016 02:29:00 PM,05/08/2016 02:29:00 PM,Hycreek Dr And Springdale Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Jack Russell Terrier Mix,Red/White
A673072,Masy,02/19/2014 01:51:00 PM,02/19/2014 01:51:00 PM,Travis (TX),Public Assist,Normal,Dog,Intact Female,3 years,Maltese,White
A719693,Oscar,01/25/2016 03:39:00 PM,01/25/2016 03:39:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
A679696,*Jenna,05/24/2014 10:59:00 PM,05/24/2014 10:59:00 PM,1900 Rossetti Dr in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
A571326,Vinnie,11/05/2015 12:10:00 PM,11/05/2015 12:10:00 PM,12400 Paloma Blanca Way in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Staffordshire Mix,Brown/White
A690792,*Poppy,10/26/2014 11:25:00 AM,10/26/2014 11:25:00 AM,7907 Persimmons Trl in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Brown Tabby
A661631,Peke,02/27/2017 06:40:00 PM,02/27/2017 06:40:00 PM,Colonial Park Blvd & Sussex Dr in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Yorkshire Terrier/Yorkshire Terrier,Brown
A781009,Kmyla,09/23/2018 02:24:00 PM,09/23/2018 02:24:00 PM,19821 Isle Of Glass Street in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,10 years,Miniature Poodle Mix,White
A783741,,11/05/2018 12:58:00 PM,11/05/2018 12:58:00 PM,1401 East Rundberg Lane in Austin (TX),Stray,Normal,Cat,Unknown,6 months,Domestic Shorthair Mix,Blue Tabby
A719747,*Kimmy,01/26/2016 06:09:00 PM,01/26/2016 06:09:00 PM,Blue Goose Rd And Cameron in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,American Pit Bull Terrier Mix,White/Brown
A730722,,07/09/2016 12:01:00 PM,07/09/2016 12:01:00 PM,5002 Aberdeen Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Orange Tabby/White
A775756,*Gromit,07/04/2018 11:41:00 AM,07/04/2018 11:41:00 AM,North Lamar Boulevard And West Runberg Lane in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A755831,,08/09/2017 02:32:00 PM,08/09/2017 02:32:00 PM,5350 Burnet Road in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Longhair Mix,Brown Tabby
A693580,Shakira,04/15/2015 05:20:00 PM,04/15/2015 05:20:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Black
